表,位置,字段,观测值,校正值,标准化调整
1B,2025-11/E11,送端电量,97.526,97.651,0.051
1A,2025-01/A3,光伏发电量,30.681,30.73,0.05
1A,2025-03/A1,光伏发电量,32.432,32.482,0.05
1A,2025-02/A8,省外输入电量,0.0,0.025,0.05
1A,2025-03/A1,风电发电量,14.598,14.648,0.05
1A,2025-03/A1,水电发电量,13.084,13.134,0.05
1A,2025-07/A5,建筑服务用电,89.169,89.079,-0.05
1A,2025-01/A3,水电发电量,5.082,5.131,0.05
1A,2025-01/A3,风电发电量,21.436,21.485,0.05
1A,2025-07/A2,风电发电量,14.001,14.05,0.05
1A,2025-07/A2,水电发电量,39.236,39.285,0.05
1A,2025-07/A2,光伏发电量,37.255,37.304,0.05
1A,2025-02/A1,风电发电量,15.581,15.63,0.049
1A,2025-02/A1,光伏发电量,26.445,26.494,0.049
1A,2025-11/A2,交通用电,52.171,52.12,-0.049
1B,2025-12/E11,送端电量,135.668,135.502,-0.049
1A,2025-12/A8,省外输入电量,0.0,0.024,0.049
1A,2025-09/A7,省外输入电量,0.0,0.025,0.049
1A,2025-02/A1,水电发电量,10.179,10.228,0.049
1A,2025-05/A3,水电发电量,11.058,11.107,0.049
1A,2025-03/A5,省外输入电量,0.0,0.024,0.049
1A,2025-05/A3,光伏发电量,50.25,50.3,0.049
1A,2025-05/A3,风电发电量,14.54,14.589,0.049
1A,2025-04/A8,省外输入电量,0.0,0.024,0.049
1A,2025-08/A2,交通用电,78.406,78.329,-0.049
1A,2025-10/A2,风电发电量,20.93,20.978,0.048
1A,2025-10/A1,水电发电量,13.864,13.912,0.048
1A,2025-10/A2,光伏发电量,28.385,28.433,0.048
1A,2025-02/A4,水电发电量,15.234,15.282,0.048
1A,2025-10/A2,水电发电量,20.773,20.821,0.048
1A,2025-10/A1,光伏发电量,32.087,32.135,0.048
1A,2025-02/A4,光伏发电量,20.062,20.11,0.048
1A,2025-06/A4,风电发电量,18.527,18.575,0.048
1A,2025-06/A4,光伏发电量,31.616,31.664,0.048
1A,2025-06/A4,水电发电量,37.562,37.61,0.048
1A,2025-10/A1,风电发电量,12.446,12.494,0.048
1B,2025-07/E06,送端电量,71.608,71.522,-0.048
1A,2025-07/A3,光伏发电量,52.731,52.782,0.048
1B,2025-04/E05,送端电量,540.545,541.193,0.048
1A,2025-02/A4,风电发电量,30.61,30.658,0.048
2B,E02,年度送端汇总,66.922,66.875,-0.047
1A,2025-09/A8,省外输入电量,0.0,0.024,0.047
1B,2025-02/E04,受端电量,119.637,119.496,-0.047
1B,2025-10/E03,送端电量,89.604,89.707,0.046
1A,2025-07/A3,风电发电量,11.244,11.29,0.046
1A,2025-09/A4,建筑服务用电,102.364,102.269,-0.046
1A,2025-07/A3,水电发电量,13.149,13.195,0.046
1A,2025-06/A7,省外输入电量,0.0,0.023,0.046
1A,2025-10/A5,省外输入电量,0.0,0.023,0.046
1A,2025-01/A4,建筑服务用电,110.88,110.78,-0.045
1A,2025-01/A2,光伏发电量,21.678,21.723,0.045
1A,2025-01/A2,风电发电量,26.909,26.954,0.045
1A,2025-01/A2,水电发电量,15.246,15.291,0.045
1A,2025-02/A5,省外输入电量,0.0,0.022,0.045
1A,2025-04/A4,建筑服务用电,90.402,90.32,-0.045
1A,2025-07/A5,风电发电量,16.818,16.862,0.044
1A,2025-07/A5,火电发电量,44.066,44.109,0.044
1A,2025-07/A5,光伏发电量,21.126,21.169,0.044
1A,2025-01/A1,光伏发电量,24.488,24.532,0.044
1A,2025-01/A1,水电发电量,10.238,10.282,0.044
1A,2025-09/A3,水电发电量,9.269,9.313,0.044
1A,2025-09/A3,风电发电量,14.903,14.947,0.044
1A,2025-01/A1,风电发电量,16.23,16.274,0.044
1A,2025-09/A3,光伏发电量,45.354,45.398,0.044
1A,2025-04/A4,风电发电量,25.885,25.928,0.043
1A,2025-04/A4,水电发电量,25.151,25.194,0.043
1A,2025-04/A4,光伏发电量,26.85,26.893,0.043
1A,2025-01/A2,交通用电,65.361,65.305,-0.043
1A,2025-08/A2,水电发电量,35.89,35.932,0.042
1B,2025-02/E03,送端电量,155.897,156.06,0.042
1A,2025-08/A2,风电发电量,14.847,14.889,0.042
1B,2025-06/E02,送端电量,11.273,11.294,0.042
1A,2025-12/A2,交通用电,56.272,56.224,-0.042
1A,2025-08/A2,光伏发电量,35.658,35.7,0.042
1A,2025-08/A5,交通用电,27.861,27.819,-0.042
1A,2025-03/A8,省外输入电量,0.0,0.021,0.041
1A,2025-10/A4,建筑服务用电,92.987,92.911,-0.041
1A,2025-08/A3,光伏发电量,50.611,50.652,0.041
1A,2025-08/A3,水电发电量,12.183,12.223,0.04
1A,2025-10/A8,工业用电,189.043,188.891,-0.04
1B,2025-01/E02,受端电量,15.604,15.624,0.04
1A,2025-08/A3,风电发电量,12.063,12.103,0.04
1A,2025-03/A4,建筑服务用电,90.756,90.684,-0.04
1A,2025-08/A1,光伏发电量,39.934,39.974,0.039
1A,2025-10/A2,交通用电,56.796,56.752,-0.039
1A,2025-08/A8,省外输入电量,0.0,0.019,0.039
1A,2025-08/A1,水电发电量,24.248,24.287,0.039
1A,2025-07/A4,水电发电量,38.331,38.37,0.039
1A,2025-07/A4,风电发电量,16.899,16.937,0.039
1A,2025-08/A1,风电发电量,9.015,9.054,0.039
1A,2025-07/A4,光伏发电量,31.659,31.698,0.039
1A,2025-09/A4,风电发电量,22.154,22.193,0.038
1A,2025-10/A4,光伏发电量,24.473,24.51,0.038
1A,2025-10/A4,水电发电量,20.902,20.939,0.038
1B,2025-07/E04,送端电量,69.901,69.834,-0.038
1A,2025-10/A4,风电发电量,24.935,24.973,0.038
1A,2025-09/A4,水电发电量,27.718,27.757,0.038
1A,2025-09/A4,光伏发电量,27.141,27.179,0.038
1A,2025-01/A5,省外输入电量,0.0,0.019,0.037
1A,2025-03/A4,光伏发电量,24.289,24.326,0.037
1A,2025-03/A4,风电发电量,29.028,29.065,0.037
1A,2025-07/A7,省外输入电量,0.0,0.018,0.037
1A,2025-03/A4,水电发电量,19.415,19.451,0.037
1A,2025-10/A8,终端用电合计,365.786,365.59,-0.036
1A,2025-11/A4,交通用电,51.392,51.356,-0.035
1B,2025-07/E01,受端电量,68.567,68.628,0.035
1B,2025-08/E09,受端电量,12.591,12.574,-0.034
1A,2025-08/A4,风电发电量,17.641,17.675,0.034
1B,2025-05/E04,受端电量,110.37,110.463,0.034
1A,2025-06/A4,交通用电,59.722,59.681,-0.034
1A,2025-08/A4,水电发电量,36.302,36.336,0.034
1A,2025-12/A4,交通用电,55.221,55.184,-0.034
1A,2025-08/A4,光伏发电量,30.119,30.153,0.034
1A,2025-02/A4,交通用电,58.26,58.222,-0.033
1A,2025-01/A4,风电发电量,32.05,32.083,0.033
1A,2025-01/A4,光伏发电量,18.552,18.586,0.033
1A,2025-01/A4,水电发电量,15.377,15.41,0.033
1A,2025-07/A4,交通用电,71.583,71.536,-0.033
1B,2025-02/E04,送端电量,123.209,123.107,-0.033
1A,2025-08/A4,交通用电,77.126,77.076,-0.032
1A,2025-07/A1,交通用电,124.046,123.968,-0.032
1A,2025-05/A4,省外输入电量,1009.339,1008.684,-0.032
1A,2025-04/A5,省外输入电量,0.0,0.015,0.031
1B,2025-04/E08,受端电量,54.928,54.885,-0.031
1B,2025-12/E10,送端电量,230.452,230.629,0.031
2B,E08,年度受端汇总,314.368,314.222,-0.031
1A,2025-05/A5,省外输入电量,0.0,0.016,0.031
1B,2025-08/E10,受端电量,82.218,82.154,-0.031
1A,2025-06/A8,省外输入电量,0.0,0.016,0.031
1B,2025-11/E03,送端电量,170.966,170.836,-0.03
1A,2025-09/A4,交通用电,66.664,66.624,-0.03
1A,2025-01/A8,省外输入电量,0.0,0.015,0.029
1A,2025-02/A3,省外输入电量,0.0,0.015,0.029
1A,2025-07/A5,交通用电,25.674,25.646,-0.028
1A,2025-12/A3,省外输入电量,0.0,0.014,0.027
1A,2025-07/A1,光伏发电量,42.531,42.557,0.027
1A,2025-04/A4,交通用电,55.25,55.22,-0.027
1A,2025-07/A1,水电发电量,25.689,25.715,0.027
1A,2025-07/A1,风电发电量,8.472,8.498,0.027
1A,2025-01/A4,交通用电,64.515,64.481,-0.026
1B,2025-05/E08,受端电量,19.081,19.094,0.025
1B,2025-08/E05,送端电量,652.492,652.899,0.025
1A,2025-10/A4,交通用电,56.175,56.147,-0.025
1A,2025-03/A4,交通用电,55.818,55.791,-0.024
1A,2025-09/A2,居民用电,175.917,175.831,-0.024
1B,2025-11/E10,送端电量,171.486,171.585,0.023
1A,2025-06/A3,省外输入电量,0.0,0.012,0.023
1B,2025-07/E09,送端电量,61.69,61.723,0.022
1A,2025-04/A3,省外输入电量,0.0,0.011,0.022
1A,2025-09/A5,省外输入电量,0.0,0.011,0.022
1A,2025-10/A8,火电发电量,143.262,143.323,0.022
1B,2025-05/E09,受端电量,32.527,32.544,0.021
1A,2025-09/A2,建筑服务用电,143.411,143.354,-0.02
1B,2025-02/E01,受端电量,10.723,10.733,0.02
1B,2025-10/E02,送端电量,10.283,10.293,0.02
1A,2025-10/A3,省外输入电量,0.0,0.01,0.02
1A,2025-04/A7,工业用电,75.245,75.216,-0.019
1A,2025-03/A3,省外输入电量,0.0,0.01,0.019
1B,2025-05/E02,送端电量,8.641,8.632,-0.019
1B,2025-12/E01,送端电量,51.084,51.06,-0.019
1A,2025-05/A3,省外输入电量,0.0,0.009,0.018
1A,2025-01/A3,省外输入电量,0.0,0.009,0.018
2B,E11,年度送端汇总,736.967,737.169,0.018
1A,2025-07/A3,省外输入电量,0.0,0.008,0.016
1A,2025-09/A3,省外输入电量,0.0,0.008,0.015
1A,2025-08/A3,省外输入电量,0.0,0.007,0.014
1A,2025-07/A5,工业用电,144.873,144.833,-0.014
1B,2025-03/E01,送端电量,14.658,14.665,0.014
1A,2025-08/A5,省外输入电量,0.0,0.007,0.014
1A,2025-10/A8,居民用电,104.604,104.574,-0.014
1A,2025-10/A8,水电发电量,96.237,96.265,0.014
1B,2025-03/E01,受端电量,14.37,14.377,0.013
1B,2025-08/E09,送端电量,13.098,13.091,-0.013
1B,2025-05/E08,送端电量,19.757,19.751,-0.012
1A,2025-04/A7,居民用电,138.517,138.541,0.009
1B,2025-05/E03,送端电量,91.061,91.081,0.009
1A,2025-05/A4,工业用电,630.056,630.172,0.009
1A,2025-09/A2,交通用电,68.521,68.508,-0.009
1A,2025-10/A8,风电发电量,37.16,37.167,0.008
1A,2025-05/A4,居民用电,167.792,167.765,-0.008
1A,2025-10/A8,光伏发电量,20.629,20.636,0.008
1A,2025-10/A8,建筑服务用电,50.278,50.271,-0.007
1A,2025-10/A8,交通用电,21.861,21.854,-0.007
1B,2025-04/E11,受端电量,2.925,2.928,0.007
1A,2025-05/A4,终端用电合计,932.699,932.776,0.006
1A,2025-09/A2,省外输入电量,361.755,361.71,-0.006
1B,2025-05/E02,受端电量,8.483,8.48,-0.006
1A,2025-05/A4,建筑服务用电,92.769,92.76,-0.005
1B,2025-03/E05,送端电量,549.433,549.367,-0.005
1B,2025-09/E03,受端电量,63.956,63.963,0.004
1A,2025-04/A7,建筑服务用电,57.553,57.557,0.004
1A,2025-07/A5,省外输入电量,0.0,0.001,0.003
1A,2025-04/A7,交通用电,20.127,20.13,0.003
1A,2025-09/A2,火电发电量,410.584,410.602,0.002
1A,2025-05/A4,交通用电,42.082,42.079,-0.002
1B,2025-08/E08,送端电量,87.53,87.528,-0.001
1B,2025-02/E01,送端电量,10.949,10.948,-0.001
1A,2025-04/A7,终端用电合计,291.441,291.445,0.001
1B,2025-03/E11,送端电量,95.284,95.286,0.001
1B,2025-05/E07,受端电量,0.0,0.0,0.0
1B,2025-05/E07,送端电量,0.0,0.0,0.0
1B,2025-05/E06,受端电量,0.0,0.0,0.0
1B,2025-05/E06,送端电量,0.0,0.0,0.0
1B,2025-05/E01,送端电量,0.0,0.0,0.0
1B,2025-05/E01,受端电量,0.0,0.0,0.0
1B,2025-04/E09,送端电量,0.0,0.0,0.0
1B,2025-04/E09,受端电量,0.0,0.0,0.0
1B,2025-05/E10,受端电量,0.0,0.0,0.0
1B,2025-05/E11,送端电量,0.0,0.0,0.0
1B,2025-06/E01,送端电量,0.0,0.0,0.0
1B,2025-05/E11,受端电量,0.0,0.0,0.0
1B,2025-05/E10,送端电量,0.0,0.0,0.0
2B,E07,年度受端汇总,0.0,0.0,0.0
1A,2025-05/A4,风电发电量,21.796,21.796,0.0
1A,2025-05/A4,光伏发电量,29.992,29.992,-0.0
1B,2025-12/E08,送端电量,0.0,0.0,0.0
1B,2025-12/E07,受端电量,0.0,0.0,0.0
1B,2025-12/E09,送端电量,0.0,0.0,0.0
1A,2025-05/A4,火电发电量,513.391,513.391,-0.0
2B,E07,年度送端汇总,0.0,0.0,0.0
1B,2025-12/E08,受端电量,0.0,0.0,0.0
1B,2025-12/E09,受端电量,0.0,0.0,0.0
1B,2025-12/E02,送端电量,0.0,0.0,0.0
1B,2025-12/E02,受端电量,0.0,0.0,0.0
1B,2025-12/E06,送端电量,0.0,0.0,0.0
1B,2025-12/E06,受端电量,0.0,0.0,0.0
1B,2025-12/E07,送端电量,0.0,0.0,0.0
1B,2025-04/E04,受端电量,0.0,0.0,0.0
1B,2025-06/E10,送端电量,0.0,0.0,0.0
1B,2025-06/E07,送端电量,0.0,0.0,0.0
1B,2025-06/E07,受端电量,0.0,0.0,0.0
1B,2025-04/E02,受端电量,0.0,0.0,0.0
1B,2025-04/E02,送端电量,0.0,0.0,0.0
1B,2025-03/E09,受端电量,0.0,0.0,0.0
1B,2025-03/E09,送端电量,0.0,0.0,0.0
1A,2025-09/A2,光伏发电量,31.415,31.415,0.0
1B,2025-07/E07,受端电量,0.0,0.0,0.0
1A,2025-04/A7,水电发电量,149.984,149.984,-0.0
1A,2025-04/A7,火电发电量,22.896,22.896,-0.0
1B,2025-07/E11,送端电量,0.0,0.0,0.0
1B,2025-07/E11,受端电量,0.0,0.0,0.0
1B,2025-08/E02,受端电量,0.0,0.0,0.0
1B,2025-08/E02,送端电量,0.0,0.0,0.0
1B,2025-08/E04,送端电量,0.0,0.0,0.0
1B,2025-07/E10,送端电量,0.0,0.0,0.0
1B,2025-07/E10,受端电量,0.0,0.0,0.0
1B,2025-07/E07,送端电量,0.0,0.0,0.0
1B,2025-08/E07,受端电量,0.0,0.0,0.0
1B,2025-04/E04,送端电量,0.0,0.0,0.0
1B,2025-06/E11,送端电量,0.0,0.0,0.0
1B,2025-04/E06,送端电量,0.0,0.0,0.0
1B,2025-04/E07,受端电量,0.0,0.0,0.0
1A,2025-06/A5,省外输入电量,0.0,0.0,0.0
1B,2025-04/E07,送端电量,0.0,0.0,0.0
1B,2025-04/E06,受端电量,0.0,0.0,0.0
1B,2025-07/E02,受端电量,0.0,0.0,0.0
1B,2025-07/E02,送端电量,0.0,0.0,0.0
1B,2025-03/E08,受端电量,0.0,0.0,0.0
1B,2025-06/E10,受端电量,0.0,0.0,0.0
1B,2025-06/E11,受端电量,0.0,0.0,0.0
1B,2025-06/E06,受端电量,0.0,0.0,0.0
1B,2025-06/E06,送端电量,0.0,0.0,0.0
1B,2025-06/E01,受端电量,0.0,0.0,0.0
1B,2025-10/E01,送端电量,0.0,0.0,0.0
1B,2025-09/E09,受端电量,0.0,0.0,0.0
1B,2025-09/E09,送端电量,0.0,0.0,0.0
1B,2025-09/E07,受端电量,0.0,0.0,0.0
1B,2025-09/E06,受端电量,0.0,0.0,0.0
1B,2025-09/E07,送端电量,0.0,0.0,0.0
1B,2025-09/E06,送端电量,0.0,0.0,0.0
1B,2025-09/E04,受端电量,0.0,0.0,0.0
1B,2025-08/E11,送端电量,0.0,0.0,0.0
1B,2025-09/E04,送端电量,0.0,0.0,0.0
1B,2025-09/E01,受端电量,0.0,0.0,0.0
1B,2025-09/E01,送端电量,0.0,0.0,0.0
1B,2025-08/E11,受端电量,0.0,0.0,0.0
1B,2025-08/E04,受端电量,0.0,0.0,0.0
1B,2025-08/E07,送端电量,0.0,0.0,0.0
1B,2025-02/E08,受端电量,0.0,0.0,0.0
1B,2025-03/E06,送端电量,0.0,0.0,0.0
1B,2025-03/E02,受端电量,0.0,0.0,0.0
1B,2025-03/E07,受端电量,0.0,0.0,0.0
1B,2025-03/E06,受端电量,0.0,0.0,0.0
1B,2025-03/E08,送端电量,0.0,0.0,0.0
1B,2025-10/E01,受端电量,0.0,0.0,0.0
1A,2025-09/A2,水电发电量,27.983,27.983,0.0
1B,2025-03/E07,送端电量,0.0,0.0,0.0
1A,2025-09/A2,风电发电量,18.598,18.598,0.0
1B,2025-02/E08,送端电量,0.0,0.0,0.0
1B,2025-02/E07,受端电量,0.0,0.0,0.0
1B,2025-02/E09,受端电量,0.0,0.0,0.0
1B,2025-02/E09,送端电量,0.0,0.0,0.0
1B,2025-03/E02,送端电量,0.0,0.0,0.0
1A,2025-04/A7,省外输入电量,0.0,0.0,0.0
1A,2025-04/A7,光伏发电量,27.156,27.156,-0.0
1B,2025-10/E09,送端电量,0.0,0.0,0.0
1B,2025-10/E08,受端电量,0.0,0.0,0.0
1B,2025-10/E08,送端电量,0.0,0.0,0.0
1B,2025-10/E07,受端电量,0.0,0.0,0.0
1B,2025-10/E07,送端电量,0.0,0.0,0.0
1B,2025-10/E06,受端电量,0.0,0.0,0.0
1B,2025-10/E06,送端电量,0.0,0.0,0.0
1B,2025-10/E09,受端电量,0.0,0.0,0.0
1B,2025-11/E08,送端电量,0.0,0.0,0.0
1B,2025-11/E08,受端电量,0.0,0.0,0.0
1B,2025-11/E02,受端电量,0.0,0.0,0.0
1B,2025-11/E02,送端电量,0.0,0.0,0.0
1B,2025-11/E06,受端电量,0.0,0.0,0.0
1B,2025-11/E07,送端电量,0.0,0.0,0.0
1B,2025-11/E07,受端电量,0.0,0.0,0.0
1B,2025-11/E06,送端电量,0.0,0.0,0.0
1B,2025-02/E06,送端电量,0.0,0.0,0.0
1B,2025-02/E02,受端电量,0.0,0.0,0.0
1B,2025-02/E02,送端电量,0.0,0.0,0.0
1B,2025-01/E09,受端电量,0.0,0.0,0.0
1B,2025-11/E09,送端电量,0.0,0.0,0.0
1B,2025-01/E09,送端电量,0.0,0.0,0.0
1B,2025-02/E06,受端电量,0.0,0.0,0.0
1B,2025-02/E07,送端电量,0.0,0.0,0.0
1B,2025-01/E07,受端电量,0.0,0.0,0.0
1B,2025-01/E07,送端电量,0.0,0.0,0.0
1B,2025-01/E06,受端电量,0.0,0.0,0.0
1B,2025-01/E06,送端电量,0.0,0.0,0.0
1B,2025-01/E01,受端电量,0.0,0.0,0.0
1B,2025-01/E01,送端电量,0.0,0.0,0.0
1A,2025-10/A8,省外输入电量,0.0,0.0,0.0
1B,2025-11/E09,受端电量,0.0,0.0,0.0
