包裹编号,需求点编号,包裹类型,包裹重量(kg),服务物流点编号,主干车辆编号,包裹离开物流中心时刻(h),货物到达物流点时刻(h),无人机编号,运输无人机起飞时刻(h),本包裹送达时刻(h),运输无人机返回时刻(h),运输无人机总载重(kg),运输无人机总航程(km)
D0163-A006,D0163,A类,1,,,,,,,,,,
D0164-A001,D0164,A类,1,,,,,,,,,,
D0164-A002,D0164,A类,1,,,,,,,,,,
D0164-A003,D0164,A类,1,,,,,,,,,,
D0164-A004,D0164,A类,1,,,,,,,,,,
D0164-A005,D0164,A类,1,,,,,,,,,,
D0165-A001,D0165,A类,1,,,,,,,,,,
D0165-A002,D0165,A类,1,,,,,,,,,,
D0165-A003,D0165,A类,1,,,,,,,,,,
D0165-A004,D0165,A类,1,,,,,,,,,,
D0165-A005,D0165,A类,1,,,,,,,,,,
D0165-A006,D0165,A类,1,,,,,,,,,,
D0165-A007,D0165,A类,1,,,,,,,,,,
D0165-A008,D0165,A类,1,,,,,,,,,,
D0166-A001,D0166,A类,1,,,,,,,,,,
D0166-A002,D0166,A类,1,,,,,,,,,,
D0166-A003,D0166,A类,1,,,,,,,,,,
D0166-A004,D0166,A类,1,,,,,,,,,,
D0166-A005,D0166,A类,1,,,,,,,,,,
D0166-A006,D0166,A类,1,,,,,,,,,,
D0166-A007,D0166,A类,1,,,,,,,,,,
D0166-A008,D0166,A类,1,,,,,,,,,,
D0166-A009,D0166,A类,1,,,,,,,,,,
D0167-A001,D0167,A类,1,,,,,,,,,,
D0167-A002,D0167,A类,1,,,,,,,,,,
D0167-A003,D0167,A类,1,,,,,,,,,,
D0167-A004,D0167,A类,1,,,,,,,,,,
D0167-A005,D0167,A类,1,,,,,,,,,,
D0167-A006,D0167,A类,1,,,,,,,,,,
D0167-A007,D0167,A类,1,,,,,,,,,,
D0167-A008,D0167,A类,1,,,,,,,,,,
D0167-A009,D0167,A类,1,,,,,,,,,,
D0167-A010,D0167,A类,1,,,,,,,,,,
D0167-A011,D0167,A类,1,,,,,,,,,,
D0167-A012,D0167,A类,1,,,,,,,,,,
D0167-B001,D0167,B类,5,,,,,,,,,,
D0168-A001,D0168,A类,1,,,,,,,,,,
D0168-A002,D0168,A类,1,,,,,,,,,,
D0168-A003,D0168,A类,1,,,,,,,,,,
D0168-A004,D0168,A类,1,,,,,,,,,,
D0168-A005,D0168,A类,1,,,,,,,,,,
D0169-A001,D0169,A类,1,,,,,,,,,,
D0169-A002,D0169,A类,1,,,,,,,,,,
D0169-A003,D0169,A类,1,,,,,,,,,,
D0169-A004,D0169,A类,1,,,,,,,,,,
D0169-A005,D0169,A类,1,,,,,,,,,,
D0169-A006,D0169,A类,1,,,,,,,,,,
D0169-A007,D0169,A类,1,,,,,,,,,,
D0169-B001,D0169,B类,5,,,,,,,,,,
D0170-A001,D0170,A类,1,,,,,,,,,,
D0170-A002,D0170,A类,1,,,,,,,,,,
D0170-A003,D0170,A类,1,,,,,,,,,,
D0170-A004,D0170,A类,1,,,,,,,,,,
D0170-A005,D0170,A类,1,,,,,,,,,,
D0170-A006,D0170,A类,1,,,,,,,,,,
D0170-A007,D0170,A类,1,,,,,,,,,,
D0170-A008,D0170,A类,1,,,,,,,,,,
D0170-A009,D0170,A类,1,,,,,,,,,,
D0170-A010,D0170,A类,1,,,,,,,,,,
D0171-A001,D0171,A类,1,,,,,,,,,,
D0171-A002,D0171,A类,1,,,,,,,,,,
D0171-A003,D0171,A类,1,,,,,,,,,,
D0171-A004,D0171,A类,1,,,,,,,,,,
D0171-A005,D0171,A类,1,,,,,,,,,,
D0171-A006,D0171,A类,1,,,,,,,,,,
D0171-A007,D0171,A类,1,,,,,,,,,,
D0171-A008,D0171,A类,1,,,,,,,,,,
D0172-A001,D0172,A类,1,,,,,,,,,,
D0172-A002,D0172,A类,1,,,,,,,,,,
D0172-A003,D0172,A类,1,,,,,,,,,,
D0172-A004,D0172,A类,1,,,,,,,,,,
D0172-A005,D0172,A类,1,,,,,,,,,,
D0172-A006,D0172,A类,1,,,,,,,,,,
D0172-A007,D0172,A类,1,,,,,,,,,,
D0172-A008,D0172,A类,1,,,,,,,,,,
D0172-A009,D0172,A类,1,,,,,,,,,,
D0173-A001,D0173,A类,1,,,,,,,,,,
D0173-A002,D0173,A类,1,,,,,,,,,,
D0173-A003,D0173,A类,1,,,,,,,,,,
D0173-A004,D0173,A类,1,,,,,,,,,,
D0173-A005,D0173,A类,1,,,,,,,,,,
D0173-A006,D0173,A类,1,,,,,,,,,,
D0174-A001,D0174,A类,1,,,,,,,,,,
D0174-A002,D0174,A类,1,,,,,,,,,,
D0174-A003,D0174,A类,1,,,,,,,,,,
D0174-A004,D0174,A类,1,,,,,,,,,,
D0174-A005,D0174,A类,1,,,,,,,,,,
D0174-A006,D0174,A类,1,,,,,,,,,,
D0174-B001,D0174,B类,5,,,,,,,,,,
D0175-A001,D0175,A类,1,,,,,,,,,,
D0175-A002,D0175,A类,1,,,,,,,,,,
D0175-A003,D0175,A类,1,,,,,,,,,,
D0175-A004,D0175,A类,1,,,,,,,,,,
D0175-A005,D0175,A类,1,,,,,,,,,,
D0175-A006,D0175,A类,1,,,,,,,,,,
D0175-A007,D0175,A类,1,,,,,,,,,,
D0175-A008,D0175,A类,1,,,,,,,,,,
D0176-A001,D0176,A类,1,,,,,,,,,,
D0176-A002,D0176,A类,1,,,,,,,,,,
D0176-A003,D0176,A类,1,,,,,,,,,,
D0176-A004,D0176,A类,1,,,,,,,,,,
D0176-A005,D0176,A类,1,,,,,,,,,,
D0176-A006,D0176,A类,1,,,,,,,,,,
D0176-A007,D0176,A类,1,,,,,,,,,,
D0176-A008,D0176,A类,1,,,,,,,,,,
D0176-A009,D0176,A类,1,,,,,,,,,,
D0177-A001,D0177,A类,1,,,,,,,,,,
D0177-A002,D0177,A类,1,,,,,,,,,,
D0177-A003,D0177,A类,1,,,,,,,,,,
D0177-A004,D0177,A类,1,,,,,,,,,,
D0177-A005,D0177,A类,1,,,,,,,,,,
D0177-A006,D0177,A类,1,,,,,,,,,,
D0177-A007,D0177,A类,1,,,,,,,,,,
D0177-A008,D0177,A类,1,,,,,,,,,,
D0177-A009,D0177,A类,1,,,,,,,,,,
D0177-B001,D0177,B类,5,,,,,,,,,,
D0178-A001,D0178,A类,1,,,,,,,,,,
D0178-A002,D0178,A类,1,,,,,,,,,,
D0178-A003,D0178,A类,1,,,,,,,,,,
D0178-A004,D0178,A类,1,,,,,,,,,,
D0178-A005,D0178,A类,1,,,,,,,,,,
D0178-A006,D0178,A类,1,,,,,,,,,,
D0178-A007,D0178,A类,1,,,,,,,,,,
D0178-A008,D0178,A类,1,,,,,,,,,,
D0179-A001,D0179,A类,1,,,,,,,,,,
D0179-A002,D0179,A类,1,,,,,,,,,,
D0179-A003,D0179,A类,1,,,,,,,,,,
D0179-A004,D0179,A类,1,,,,,,,,,,
D0179-A005,D0179,A类,1,,,,,,,,,,
D0179-A006,D0179,A类,1,,,,,,,,,,
D0179-A007,D0179,A类,1,,,,,,,,,,
D0179-B001,D0179,B类,5,,,,,,,,,,
D0180-A001,D0180,A类,1,,,,,,,,,,
D0180-A002,D0180,A类,1,,,,,,,,,,
D0180-A003,D0180,A类,1,,,,,,,,,,
D0180-A004,D0180,A类,1,,,,,,,,,,
D0180-A005,D0180,A类,1,,,,,,,,,,
D0180-A006,D0180,A类,1,,,,,,,,,,
D0180-A007,D0180,A类,1,,,,,,,,,,
D0181-A001,D0181,A类,1,,,,,,,,,,
D0181-A002,D0181,A类,1,,,,,,,,,,
D0181-A003,D0181,A类,1,,,,,,,,,,
D0181-A004,D0181,A类,1,,,,,,,,,,
D0182-A001,D0182,A类,1,,,,,,,,,,
D0182-A002,D0182,A类,1,,,,,,,,,,
D0182-B001,D0182,B类,5,,,,,,,,,,
D0183-A001,D0183,A类,1,,,,,,,,,,
D0183-A002,D0183,A类,1,,,,,,,,,,
D0183-A003,D0183,A类,1,,,,,,,,,,
D0183-A004,D0183,A类,1,,,,,,,,,,
D0183-A005,D0183,A类,1,,,,,,,,,,
D0183-A006,D0183,A类,1,,,,,,,,,,
D0183-A007,D0183,A类,1,,,,,,,,,,
D0183-A008,D0183,A类,1,,,,,,,,,,
D0184-A001,D0184,A类,1,,,,,,,,,,
D0184-A002,D0184,A类,1,,,,,,,,,,
D0184-A003,D0184,A类,1,,,,,,,,,,
D0184-A004,D0184,A类,1,,,,,,,,,,
D0184-A005,D0184,A类,1,,,,,,,,,,
D0184-A006,D0184,A类,1,,,,,,,,,,
D0184-A007,D0184,A类,1,,,,,,,,,,
D0184-A008,D0184,A类,1,,,,,,,,,,
D0185-A001,D0185,A类,1,,,,,,,,,,
D0185-A002,D0185,A类,1,,,,,,,,,,
D0185-A003,D0185,A类,1,,,,,,,,,,
D0185-A004,D0185,A类,1,,,,,,,,,,
D0185-A005,D0185,A类,1,,,,,,,,,,
D0186-A001,D0186,A类,1,,,,,,,,,,
D0186-A002,D0186,A类,1,,,,,,,,,,
D0186-A003,D0186,A类,1,,,,,,,,,,
D0186-A004,D0186,A类,1,,,,,,,,,,
D0186-A005,D0186,A类,1,,,,,,,,,,
D0186-A006,D0186,A类,1,,,,,,,,,,
D0186-A007,D0186,A类,1,,,,,,,,,,
D0186-A008,D0186,A类,1,,,,,,,,,,
D0186-A009,D0186,A类,1,,,,,,,,,,
D0186-A010,D0186,A类,1,,,,,,,,,,
D0186-A011,D0186,A类,1,,,,,,,,,,
D0187-A001,D0187,A类,1,,,,,,,,,,
D0187-A002,D0187,A类,1,,,,,,,,,,
D0187-A003,D0187,A类,1,,,,,,,,,,
D0187-B001,D0187,B类,5,,,,,,,,,,
D0188-A001,D0188,A类,1,,,,,,,,,,
D0188-A002,D0188,A类,1,,,,,,,,,,
D0188-A003,D0188,A类,1,,,,,,,,,,
D0188-A004,D0188,A类,1,,,,,,,,,,
D0188-A005,D0188,A类,1,,,,,,,,,,
D0188-A006,D0188,A类,1,,,,,,,,,,
D0188-A007,D0188,A类,1,,,,,,,,,,
D0188-A008,D0188,A类,1,,,,,,,,,,
D0188-A009,D0188,A类,1,,,,,,,,,,
D0189-A001,D0189,A类,1,,,,,,,,,,
D0189-A002,D0189,A类,1,,,,,,,,,,
D0189-A003,D0189,A类,1,,,,,,,,,,
D0189-A004,D0189,A类,1,,,,,,,,,,
D0189-A005,D0189,A类,1,,,,,,,,,,
D0189-A006,D0189,A类,1,,,,,,,,,,
D0190-A001,D0190,A类,1,,,,,,,,,,
D0190-A002,D0190,A类,1,,,,,,,,,,
D0190-A003,D0190,A类,1,,,,,,,,,,
D0190-A004,D0190,A类,1,,,,,,,,,,
D0190-A005,D0190,A类,1,,,,,,,,,,
D0190-A006,D0190,A类,1,,,,,,,,,,
D0190-A007,D0190,A类,1,,,,,,,,,,
D0190-A008,D0190,A类,1,,,,,,,,,,
D0190-A009,D0190,A类,1,,,,,,,,,,
D0190-B001,D0190,B类,5,,,,,,,,,,
D0191-A001,D0191,A类,1,,,,,,,,,,
D0191-A002,D0191,A类,1,,,,,,,,,,
D0191-A003,D0191,A类,1,,,,,,,,,,
D0191-A004,D0191,A类,1,,,,,,,,,,
D0191-A005,D0191,A类,1,,,,,,,,,,
D0191-A006,D0191,A类,1,,,,,,,,,,
D0191-A007,D0191,A类,1,,,,,,,,,,
D0191-A008,D0191,A类,1,,,,,,,,,,
D0191-A009,D0191,A类,1,,,,,,,,,,
D0191-A010,D0191,A类,1,,,,,,,,,,
D0192-A001,D0192,A类,1,,,,,,,,,,
D0192-A002,D0192,A类,1,,,,,,,,,,
D0192-A003,D0192,A类,1,,,,,,,,,,
D0192-A004,D0192,A类,1,,,,,,,,,,
D0192-A005,D0192,A类,1,,,,,,,,,,
D0192-A006,D0192,A类,1,,,,,,,,,,
D0192-A007,D0192,A类,1,,,,,,,,,,
D0192-B001,D0192,B类,5,,,,,,,,,,
D0193-A001,D0193,A类,1,,,,,,,,,,
D0193-A002,D0193,A类,1,,,,,,,,,,
D0193-A003,D0193,A类,1,,,,,,,,,,
D0193-A004,D0193,A类,1,,,,,,,,,,
D0193-A005,D0193,A类,1,,,,,,,,,,
D0193-A006,D0193,A类,1,,,,,,,,,,
D0193-A007,D0193,A类,1,,,,,,,,,,
D0194-A001,D0194,A类,1,,,,,,,,,,
D0194-A002,D0194,A类,1,,,,,,,,,,
D0194-A003,D0194,A类,1,,,,,,,,,,
D0194-A004,D0194,A类,1,,,,,,,,,,
D0194-A005,D0194,A类,1,,,,,,,,,,
D0194-A006,D0194,A类,1,,,,,,,,,,
D0194-A007,D0194,A类,1,,,,,,,,,,
D0195-A001,D0195,A类,1,,,,,,,,,,
D0195-A002,D0195,A类,1,,,,,,,,,,
D0195-A003,D0195,A类,1,,,,,,,,,,
D0195-A004,D0195,A类,1,,,,,,,,,,
D0195-A005,D0195,A类,1,,,,,,,,,,
D0195-A006,D0195,A类,1,,,,,,,,,,
D0195-A007,D0195,A类,1,,,,,,,,,,
D0195-A008,D0195,A类,1,,,,,,,,,,
D0195-A009,D0195,A类,1,,,,,,,,,,
D0195-A010,D0195,A类,1,,,,,,,,,,
D0195-A011,D0195,A类,1,,,,,,,,,,
D0195-B001,D0195,B类,5,,,,,,,,,,
D0195-B002,D0195,B类,5,,,,,,,,,,
D0196-A001,D0196,A类,1,,,,,,,,,,
D0196-A002,D0196,A类,1,,,,,,,,,,
D0196-A003,D0196,A类,1,,,,,,,,,,
D0196-A004,D0196,A类,1,,,,,,,,,,
D0196-A005,D0196,A类,1,,,,,,,,,,
D0196-A006,D0196,A类,1,,,,,,,,,,
D0196-A007,D0196,A类,1,,,,,,,,,,
D0196-A008,D0196,A类,1,,,,,,,,,,
D0197-A001,D0197,A类,1,,,,,,,,,,
D0197-A002,D0197,A类,1,,,,,,,,,,
D0197-A003,D0197,A类,1,,,,,,,,,,
D0197-A004,D0197,A类,1,,,,,,,,,,
D0197-A005,D0197,A类,1,,,,,,,,,,
D0197-A006,D0197,A类,1,,,,,,,,,,
D0198-A001,D0198,A类,1,,,,,,,,,,
D0198-A002,D0198,A类,1,,,,,,,,,,
D0198-A003,D0198,A类,1,,,,,,,,,,
D0198-A004,D0198,A类,1,,,,,,,,,,
D0198-A005,D0198,A类,1,,,,,,,,,,
D0198-A006,D0198,A类,1,,,,,,,,,,
D0198-A007,D0198,A类,1,,,,,,,,,,
D0199-A001,D0199,A类,1,,,,,,,,,,
D0199-A002,D0199,A类,1,,,,,,,,,,
D0199-A003,D0199,A类,1,,,,,,,,,,
D0199-A004,D0199,A类,1,,,,,,,,,,
D0199-A005,D0199,A类,1,,,,,,,,,,
D0199-A006,D0199,A类,1,,,,,,,,,,
D0199-A007,D0199,A类,1,,,,,,,,,,
D0199-B001,D0199,B类,5,,,,,,,,,,
D0199-B002,D0199,B类,5,,,,,,,,,,
D0200-A001,D0200,A类,1,,,,,,,,,,
D0200-A002,D0200,A类,1,,,,,,,,,,
D0201-A001,D0201,A类,1,,,,,,,,,,
D0201-A002,D0201,A类,1,,,,,,,,,,
D0201-A003,D0201,A类,1,,,,,,,,,,
D0201-A004,D0201,A类,1,,,,,,,,,,
D0201-A005,D0201,A类,1,,,,,,,,,,
D0201-A006,D0201,A类,1,,,,,,,,,,
D0201-A007,D0201,A类,1,,,,,,,,,,
D0201-A008,D0201,A类,1,,,,,,,,,,
D0201-A009,D0201,A类,1,,,,,,,,,,
D0202-A001,D0202,A类,1,,,,,,,,,,
D0202-A002,D0202,A类,1,,,,,,,,,,
D0202-A003,D0202,A类,1,,,,,,,,,,
D0202-A004,D0202,A类,1,,,,,,,,,,
D0202-A005,D0202,A类,1,,,,,,,,,,
D0202-A006,D0202,A类,1,,,,,,,,,,
D0202-A007,D0202,A类,1,,,,,,,,,,
D0202-A008,D0202,A类,1,,,,,,,,,,
D0203-A001,D0203,A类,1,,,,,,,,,,
D0203-A002,D0203,A类,1,,,,,,,,,,
D0203-A003,D0203,A类,1,,,,,,,,,,
D0203-A004,D0203,A类,1,,,,,,,,,,
D0203-A005,D0203,A类,1,,,,,,,,,,
D0203-B001,D0203,B类,5,,,,,,,,,,
D0204-A001,D0204,A类,1,,,,,,,,,,
D0204-A002,D0204,A类,1,,,,,,,,,,
D0204-A003,D0204,A类,1,,,,,,,,,,
D0204-A004,D0204,A类,1,,,,,,,,,,
D0204-A005,D0204,A类,1,,,,,,,,,,
D0204-A006,D0204,A类,1,,,,,,,,,,
D0204-A007,D0204,A类,1,,,,,,,,,,
D0204-A008,D0204,A类,1,,,,,,,,,,
D0204-A009,D0204,A类,1,,,,,,,,,,
D0205-A001,D0205,A类,1,,,,,,,,,,
D0205-A002,D0205,A类,1,,,,,,,,,,
D0205-A003,D0205,A类,1,,,,,,,,,,
D0205-A004,D0205,A类,1,,,,,,,,,,
D0205-A005,D0205,A类,1,,,,,,,,,,
D0205-A006,D0205,A类,1,,,,,,,,,,
D0205-A007,D0205,A类,1,,,,,,,,,,
D0205-A008,D0205,A类,1,,,,,,,,,,
D0205-A009,D0205,A类,1,,,,,,,,,,
D0206-A001,D0206,A类,1,,,,,,,,,,
D0206-A002,D0206,A类,1,,,,,,,,,,
D0206-A003,D0206,A类,1,,,,,,,,,,
D0206-A004,D0206,A类,1,,,,,,,,,,
D0206-A005,D0206,A类,1,,,,,,,,,,
D0206-A006,D0206,A类,1,,,,,,,,,,
D0206-A007,D0206,A类,1,,,,,,,,,,
D0207-A001,D0207,A类,1,,,,,,,,,,
D0207-A002,D0207,A类,1,,,,,,,,,,
D0207-A003,D0207,A类,1,,,,,,,,,,
D0207-A004,D0207,A类,1,,,,,,,,,,
D0207-A005,D0207,A类,1,,,,,,,,,,
D0207-A006,D0207,A类,1,,,,,,,,,,
D0207-A007,D0207,A类,1,,,,,,,,,,
D0207-A008,D0207,A类,1,,,,,,,,,,
D0207-A009,D0207,A类,1,,,,,,,,,,
D0208-A001,D0208,A类,1,,,,,,,,,,
D0208-A002,D0208,A类,1,,,,,,,,,,
D0208-A003,D0208,A类,1,,,,,,,,,,
D0208-A004,D0208,A类,1,,,,,,,,,,
D0208-A005,D0208,A类,1,,,,,,,,,,
D0208-A006,D0208,A类,1,,,,,,,,,,
D0208-B001,D0208,B类,5,,,,,,,,,,
D0208-B002,D0208,B类,5,,,,,,,,,,
D0209-A001,D0209,A类,1,,,,,,,,,,
D0209-A002,D0209,A类,1,,,,,,,,,,
D0209-A003,D0209,A类,1,,,,,,,,,,
D0210-A001,D0210,A类,1,,,,,,,,,,
D0210-A002,D0210,A类,1,,,,,,,,,,
D0210-A003,D0210,A类,1,,,,,,,,,,
D0211-A001,D0211,A类,1,,,,,,,,,,
D0211-A002,D0211,A类,1,,,,,,,,,,
D0211-A003,D0211,A类,1,,,,,,,,,,
D0211-A004,D0211,A类,1,,,,,,,,,,
D0211-A005,D0211,A类,1,,,,,,,,,,
D0211-A006,D0211,A类,1,,,,,,,,,,
D0211-A007,D0211,A类,1,,,,,,,,,,
D0211-A008,D0211,A类,1,,,,,,,,,,
D0211-A009,D0211,A类,1,,,,,,,,,,
D0212-A001,D0212,A类,1,,,,,,,,,,
D0212-A002,D0212,A类,1,,,,,,,,,,
D0212-B001,D0212,B类,5,,,,,,,,,,
D0213-A001,D0213,A类,1,,,,,,,,,,
D0213-A002,D0213,A类,1,,,,,,,,,,
D0213-A003,D0213,A类,1,,,,,,,,,,
D0213-A004,D0213,A类,1,,,,,,,,,,
D0213-A005,D0213,A类,1,,,,,,,,,,
D0214-A001,D0214,A类,1,,,,,,,,,,
D0214-A002,D0214,A类,1,,,,,,,,,,
D0214-A003,D0214,A类,1,,,,,,,,,,
D0214-A004,D0214,A类,1,,,,,,,,,,
D0214-A005,D0214,A类,1,,,,,,,,,,
D0214-A006,D0214,A类,1,,,,,,,,,,
D0214-A007,D0214,A类,1,,,,,,,,,,
D0214-A008,D0214,A类,1,,,,,,,,,,
D0214-A009,D0214,A类,1,,,,,,,,,,
D0214-B001,D0214,B类,5,,,,,,,,,,
D0215-A001,D0215,A类,1,,,,,,,,,,
D0215-A002,D0215,A类,1,,,,,,,,,,
D0215-A003,D0215,A类,1,,,,,,,,,,
D0215-A004,D0215,A类,1,,,,,,,,,,
D0216-A001,D0216,A类,1,,,,,,,,,,
D0216-A002,D0216,A类,1,,,,,,,,,,
D0216-A003,D0216,A类,1,,,,,,,,,,
D0216-A004,D0216,A类,1,,,,,,,,,,
D0216-A005,D0216,A类,1,,,,,,,,,,
D0216-A006,D0216,A类,1,,,,,,,,,,
D0217-A001,D0217,A类,1,,,,,,,,,,
D0217-A002,D0217,A类,1,,,,,,,,,,
D0217-A003,D0217,A类,1,,,,,,,,,,
D0218-A001,D0218,A类,1,,,,,,,,,,
D0218-A002,D0218,A类,1,,,,,,,,,,
D0218-A003,D0218,A类,1,,,,,,,,,,
D0218-A004,D0218,A类,1,,,,,,,,,,
D0218-A005,D0218,A类,1,,,,,,,,,,
D0218-A006,D0218,A类,1,,,,,,,,,,
D0218-A007,D0218,A类,1,,,,,,,,,,
D0218-A008,D0218,A类,1,,,,,,,,,,
D0219-A001,D0219,A类,1,,,,,,,,,,
D0219-A002,D0219,A类,1,,,,,,,,,,
D0219-A003,D0219,A类,1,,,,,,,,,,
D0219-A004,D0219,A类,1,,,,,,,,,,
D0219-A005,D0219,A类,1,,,,,,,,,,
D0219-A006,D0219,A类,1,,,,,,,,,,
D0219-A007,D0219,A类,1,,,,,,,,,,
D0219-A008,D0219,A类,1,,,,,,,,,,
D0219-A009,D0219,A类,1,,,,,,,,,,
D0219-B001,D0219,B类,5,,,,,,,,,,
D0219-B002,D0219,B类,5,,,,,,,,,,
D0220-A001,D0220,A类,1,,,,,,,,,,
D0220-A002,D0220,A类,1,,,,,,,,,,
D0220-A003,D0220,A类,1,,,,,,,,,,
D0220-A004,D0220,A类,1,,,,,,,,,,
D0220-A005,D0220,A类,1,,,,,,,,,,
D0220-B001,D0220,B类,5,,,,,,,,,,
D0221-A001,D0221,A类,1,,,,,,,,,,
D0221-A002,D0221,A类,1,,,,,,,,,,
D0221-A003,D0221,A类,1,,,,,,,,,,
D0222-A001,D0222,A类,1,,,,,,,,,,
D0222-A002,D0222,A类,1,,,,,,,,,,
D0222-A003,D0222,A类,1,,,,,,,,,,
D0222-A004,D0222,A类,1,,,,,,,,,,
D0222-A005,D0222,A类,1,,,,,,,,,,
D0222-A006,D0222,A类,1,,,,,,,,,,
D0223-A001,D0223,A类,1,,,,,,,,,,
D0223-A002,D0223,A类,1,,,,,,,,,,
D0223-A003,D0223,A类,1,,,,,,,,,,
D0224-A001,D0224,A类,1,,,,,,,,,,
D0224-A002,D0224,A类,1,,,,,,,,,,
D0224-A003,D0224,A类,1,,,,,,,,,,
D0224-A004,D0224,A类,1,,,,,,,,,,
D0224-A005,D0224,A类,1,,,,,,,,,,
D0224-A006,D0224,A类,1,,,,,,,,,,
D0224-A007,D0224,A类,1,,,,,,,,,,
D0224-A008,D0224,A类,1,,,,,,,,,,
D0224-A009,D0224,A类,1,,,,,,,,,,
D0224-A010,D0224,A类,1,,,,,,,,,,
D0224-B001,D0224,B类,5,,,,,,,,,,
D0225-A001,D0225,A类,1,,,,,,,,,,
D0225-A002,D0225,A类,1,,,,,,,,,,
D0225-A003,D0225,A类,1,,,,,,,,,,
D0225-A004,D0225,A类,1,,,,,,,,,,
D0226-A001,D0226,A类,1,,,,,,,,,,
D0226-A002,D0226,A类,1,,,,,,,,,,
D0226-A003,D0226,A类,1,,,,,,,,,,
D0226-A004,D0226,A类,1,,,,,,,,,,
D0226-A005,D0226,A类,1,,,,,,,,,,
D0226-A006,D0226,A类,1,,,,,,,,,,
D0226-A007,D0226,A类,1,,,,,,,,,,
D0226-A008,D0226,A类,1,,,,,,,,,,
D0227-A001,D0227,A类,1,,,,,,,,,,
D0227-A002,D0227,A类,1,,,,,,,,,,
D0227-A003,D0227,A类,1,,,,,,,,,,
D0227-A004,D0227,A类,1,,,,,,,,,,
D0227-A005,D0227,A类,1,,,,,,,,,,
D0228-A001,D0228,A类,1,,,,,,,,,,
D0228-A002,D0228,A类,1,,,,,,,,,,
D0228-A003,D0228,A类,1,,,,,,,,,,
D0228-A004,D0228,A类,1,,,,,,,,,,
D0229-A001,D0229,A类,1,,,,,,,,,,
D0229-A002,D0229,A类,1,,,,,,,,,,
D0229-A003,D0229,A类,1,,,,,,,,,,
D0229-A004,D0229,A类,1,,,,,,,,,,
D0230-A001,D0230,A类,1,,,,,,,,,,
D0230-A002,D0230,A类,1,,,,,,,,,,
D0230-A003,D0230,A类,1,,,,,,,,,,
D0230-A004,D0230,A类,1,,,,,,,,,,
D0230-A005,D0230,A类,1,,,,,,,,,,
D0230-A006,D0230,A类,1,,,,,,,,,,
D0230-A007,D0230,A类,1,,,,,,,,,,
D0230-A008,D0230,A类,1,,,,,,,,,,
D0230-A009,D0230,A类,1,,,,,,,,,,
D0230-B001,D0230,B类,5,,,,,,,,,,
D0231-A001,D0231,A类,1,,,,,,,,,,
D0231-A002,D0231,A类,1,,,,,,,,,,
D0231-A003,D0231,A类,1,,,,,,,,,,
D0231-A004,D0231,A类,1,,,,,,,,,,
D0231-A005,D0231,A类,1,,,,,,,,,,
D0232-A001,D0232,A类,1,,,,,,,,,,
D0232-A002,D0232,A类,1,,,,,,,,,,
D0232-A003,D0232,A类,1,,,,,,,,,,
D0233-A001,D0233,A类,1,,,,,,,,,,
D0233-A002,D0233,A类,1,,,,,,,,,,
D0233-A003,D0233,A类,1,,,,,,,,,,
D0233-A004,D0233,A类,1,,,,,,,,,,
D0233-A005,D0233,A类,1,,,,,,,,,,
D0233-A006,D0233,A类,1,,,,,,,,,,
D0234-A001,D0234,A类,1,,,,,,,,,,
D0234-A002,D0234,A类,1,,,,,,,,,,
D0234-A003,D0234,A类,1,,,,,,,,,,
D0234-A004,D0234,A类,1,,,,,,,,,,
D0234-A005,D0234,A类,1,,,,,,,,,,
D0234-A006,D0234,A类,1,,,,,,,,,,
D0234-A007,D0234,A类,1,,,,,,,,,,
D0234-A008,D0234,A类,1,,,,,,,,,,
D0234-A009,D0234,A类,1,,,,,,,,,,
D0235-A001,D0235,A类,1,,,,,,,,,,
D0235-A002,D0235,A类,1,,,,,,,,,,
D0235-A003,D0235,A类,1,,,,,,,,,,
D0235-A004,D0235,A类,1,,,,,,,,,,
D0235-A005,D0235,A类,1,,,,,,,,,,
D0236-A001,D0236,A类,1,,,,,,,,,,
D0236-A002,D0236,A类,1,,,,,,,,,,
D0236-A003,D0236,A类,1,,,,,,,,,,
D0236-A004,D0236,A类,1,,,,,,,,,,
D0237-A001,D0237,A类,1,,,,,,,,,,
D0237-A002,D0237,A类,1,,,,,,,,,,
D0237-A003,D0237,A类,1,,,,,,,,,,
D0237-A004,D0237,A类,1,,,,,,,,,,
D0237-A005,D0237,A类,1,,,,,,,,,,
D0238-A001,D0238,A类,1,,,,,,,,,,
D0238-A002,D0238,A类,1,,,,,,,,,,
D0238-A003,D0238,A类,1,,,,,,,,,,
D0238-A004,D0238,A类,1,,,,,,,,,,
D0238-A005,D0238,A类,1,,,,,,,,,,
D0238-A006,D0238,A类,1,,,,,,,,,,
D0238-A007,D0238,A类,1,,,,,,,,,,
D0238-A008,D0238,A类,1,,,,,,,,,,
D0238-A009,D0238,A类,1,,,,,,,,,,
D0238-A010,D0238,A类,1,,,,,,,,,,
D0238-A011,D0238,A类,1,,,,,,,,,,
D0238-A012,D0238,A类,1,,,,,,,,,,
D0239-A001,D0239,A类,1,,,,,,,,,,
D0239-A002,D0239,A类,1,,,,,,,,,,
D0239-A003,D0239,A类,1,,,,,,,,,,
D0239-A004,D0239,A类,1,,,,,,,,,,
D0239-A005,D0239,A类,1,,,,,,,,,,
D0239-A006,D0239,A类,1,,,,,,,,,,
